DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|63|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|23|24
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|56|3
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|29|24
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|44|6
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|18|31
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|25|21
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|38|9
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|43|5
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|30|16
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|39|8
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|26|22
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|37|12
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|21|46
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|35|13
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|41|10
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|32|10
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|45|4
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|62|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|20|119
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|53|3
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|40|6
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|47|6
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|54|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|51|4
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|48|4
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|66|2
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|28|24
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|24|40
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|46|5
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|42|11
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|50|5
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|36|16
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|33|16
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|22|29
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|31|14
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|49|7
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|34|16
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|52|3
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|58|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|19|555
2024-01|02|WOJ. DOLNOŒL¥SKIE|K|27|18
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|45|7
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|31|14
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|22|37
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|33|12
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|70|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|20|111
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|29|21
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|30|13
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|28|14
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|66|2
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|40|9
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|27|23
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|48|2
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|44|3
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|55|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|52|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|18|73
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|23|16
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|25|23
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|39|6
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|41|7
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|17|4
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|32|15
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|51|4
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|36|13
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|50|2
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|38|11
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|42|4
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|49|2
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|56|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|19|635
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|46|9
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|37|5
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|59|2
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|43|5
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|24|29
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|47|6
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|53|1
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|21|49
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|35|8
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|26|18
2024-01|02|WOJ. DOLNOŒL¥SKIE|M|34|9
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|19|435
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|53|1
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|27|7
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|34|9
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|33|8
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|23|14
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|28|10
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|36|10
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|43|5
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|57|3
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|56|2
2024-01|04|WOJ. KUJAWSKO-POMORSKIE|K|24|14
