DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|48|6
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|38|11
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|56|5
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|19|407
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|28|23
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|36|19
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|46|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|53|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|34|12
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|44|5
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|35|13
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|43|6
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|42|10
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|16|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|20|101
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|25|15
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|21|33
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|24|25
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|40|9
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|69|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|23|26
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|30|24
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|33|15
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|45|10
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|62|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|22|28
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|54|4
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|18|121
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|49|5
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|32|14
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|29|22
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|39|8
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|51|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|26|12
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|41|14
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|47|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|50|6
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|63|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|31|10
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|37|12
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|27|19
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|55|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|57|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|K|52|1
2024-02|02|WOJ. DOLNOŒL¥SKIE|M|16|2
2024-02|02|WOJ. DOLNOŒL¥SKIE|M|43|3
